DatePST,TimePST,stage_ft
2016-01-22,13:45,30.46
2016-01-22,14:00,30.45
2016-01-22,14:15,30.45
2016-02-04,9:45,22.45
2016-02-04,10:00,22.45
2016-02-09,16:15,16.97
2016-02-18,14:45,15.05
2016-03-09,14:00,30.23
2016-03-09,14:15,30.23
2016-03-16,13:00,33.84
2016-03-16,13:15,33.85
2016-03-16,13:30,33.84
2016-03-30,15:15,23.95
2016-03-30,15:30,23.94
