id,RelEv,TagDate,RelSite,RelLoc,RelDate,RelTime,wtempC,weight,FL,AirTime,CanID
36346,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,73,193,1:58,1
36602,3,2016-02-20,S1,TISDALE,2016-02-21,1658,13,73.4,186,2:47,10
38891,8,2016-03-05,S1,TISDALE,2016-03-06,2100,14.4,73.4,186,1:55,13
38866,7,2016-03-05,S1,TISDALE,2016-03-06,1433,14.1,73.6,187,1:37,9
38863,7,2016-03-05,S1,TISDALE,2016-03-06,1433,14.1,74.1,193,2:22,9
39471,18,2016-03-10,T3,TISDALE,2016-03-11,759,12.7,74.1,188,1:32,10
38925,9,2016-03-10,T1,TISDALE,2016-03-11,3,11,74.2,182,1:43,1
39855,18,2016-03-10,T3,TISDALE,2016-03-11,759,12.7,74.3,191,1:59,10
36626,4,2016-02-20,S1,TISDALE,2016-02-21,2305,13,74.4,190,2:21,14
36393,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,74.6,187,2:20,3
39427,5,2016-03-05,S1,TISDALE,2016-03-06,306,14.1,74.6,183,1:38,2
38797,5,2016-03-05,S1,TISDALE,2016-03-06,311,14.1,75,191,1:59,3
38888,7,2016-03-05,S1,TISDALE,2016-03-06,1439,14.1,75.1,192,1:47,11
39592,52,2016-03-16,S1,TISDALE,2016-03-18,200,12.2,75.2,190,2:08,1
36499,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,75.3,189,1:48,2
38905,8,2016-03-05,S1,TISDALE,2016-03-06,2100,14.4,75.3,188,1:27,13
36344,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,75.5,194,2:10,1
39406,6,2016-03-05,S1,TISDALE,2016-03-06,850,14.7,75.7,191,1:54,6
38883,7,2016-03-05,S1,TISDALE,2016-03-06,1439,14.1,76,190,2:07,11
36612,3,2016-02-20,S1,TISDALE,2016-02-21,1706,13,76.9,192,2:01,12
38837,6,2016-03-05,S1,TISDALE,2016-03-06,846,14.7,77.6,193,1:17,5
39289,20,2016-03-10,T3,TISDALE,2016-03-11,803,12.7,79.1,191,2:02,12
38954,19,2016-03-10,T3,TISDALE,2016-03-11,802,12.7,79.4,190,1:26,11
38838,6,2016-03-05,S1,TISDALE,2016-03-06,846,14.7,81,192,1:40,5
38831,6,2016-03-05,S1,TISDALE,2016-03-06,846,14.7,81.3,190,1:54,5
36526,3,2016-02-20,S1,TISDALE,2016-02-21,1706,13,81.6,195,1:44,12
36400,3,2016-02-20,S1,TISDALE,2016-02-21,1655,13,82,193,N/T,9
38789,5,2016-03-05,S1,TISDALE,2016-03-06,301,14.1,82.1,199,1:55,1
39369,7,2016-03-05,S1,TISDALE,2016-03-06,1436,14.1,82.1,197,1:49,10
39382,6,2016-03-05,S1,TISDALE,2016-03-06,859,14.7,83.4,200,1:29,8
38907,8,2016-03-05,S1,TISDALE,2016-03-06,2100,14.4,83.4,197,1:21,13
39402,6,2016-03-05,S1,TISDALE,2016-03-06,850,14.7,83.7,199,2:11,6
38941,15,2016-03-10,T2,TISDALE,2016-03-11,409,11,83.8,197,1:27,7
38920,8,2016-03-05,S1,TISDALE,2016-03-06,2108,14.4,84.1,197,2:22,15
39063,32,2016-03-14,S1,TISDALE,2016-03-16,1000,11.4,84.3,198,1:59,3
39594,52,2016-03-16,S1,TISDALE,2016-03-18,200,12.2,84.6,197,2:04,1
39491,12,2016-03-10,T1,TISDALE,2016-03-11,13,11,84.7,191,2:07,4
38799,5,2016-03-05,S1,TISDALE,2016-03-06,311,14.1,84.8,197,2:00,3
36466,4,2016-02-20,S1,TISDALE,2016-02-21,2301,13,85,199,1:50,13
36663,4,2016-02-20,S1,TISDALE,2016-02-21,2305,13,85,198,1:40,14
38953,19,2016-03-10,T3,TISDALE,2016-03-11,802,12.7,85.2,202,1:34,11
39409,5,2016-03-05,S1,TISDALE,2016-03-06,314,14.1,85.3,197,1:21,4
39385,6,2016-03-05,S1,TISDALE,2016-03-06,859,14.7,85.5,201,2:30,8
38949,17,2016-03-10,T3,TISDALE,2016-03-11,755,12.7,85.5,201,1:31,9
36497,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,85.8,194,1:47,2
39345,7,2016-03-05,S1,TISDALE,2016-03-06,1441,14.1,86.3,200,1:36,12
38898,8,2016-03-05,S1,TISDALE,2016-03-06,2100,14.4,86.8,201,1:51,13
38798,5,2016-03-05,S1,TISDALE,2016-03-06,311,14.1,87,200,1:56,3
39598,52,2016-03-16,S1,TISDALE,2016-03-18,200,12.2,87.3,199,2:02,1
39616,52,2016-03-16,S1,TISDALE,2016-03-18,200,12.2,87.3,203,1:22,1
36503,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,87.4,197,1:40,2
39428,5,2016-03-05,S1,TISDALE,2016-03-06,306,14.1,87.6,198,1:39,2
36420,3,2016-02-20,S1,TISDALE,2016-02-21,1702,13,87.7,197,2:37,11
38869,7,2016-03-05,S1,TISDALE,2016-03-06,1433,14.1,88.1,203,1:25,9
39506,16,2016-03-10,T2,TISDALE,2016-03-11,411,11,88.2,206,2:11,8
39320,8,2016-03-05,S1,TISDALE,2016-03-06,2112,14.4,88.3,205,1:49,16
36412,3,2016-02-20,S1,TISDALE,2016-02-21,1655,13,90.3,204,1:45,9
