RelEv,CanID,TagID,RelLoc,RelDate,RelTime
1,1,36186,TISDALE,2016-02-21,0533
1,1,36341,TISDALE,2016-02-21,0533
1,1,36342,TISDALE,2016-02-21,0533
1,1,36344,TISDALE,2016-02-21,0533
1,1,36345,TISDALE,2016-02-21,0533
1,1,36346,TISDALE,2016-02-21,0533
1,1,36347,TISDALE,2016-02-21,0533
1,1,36381,TISDALE,2016-02-21,0533
1,1,36382,TISDALE,2016-02-21,0533
1,1,36383,TISDALE,2016-02-21,0533
1,1,36384,TISDALE,2016-02-21,0533
1,1,36385,TISDALE,2016-02-21,0533
1,1,36387,TISDALE,2016-02-21,0533
1,1,36388,TISDALE,2016-02-21,0533
1,1,36389,TISDALE,2016-02-21,0533
1,2,36494,TISDALE,2016-02-21,0536
1,2,36495,TISDALE,2016-02-21,0536
1,2,36497,TISDALE,2016-02-21,0536
1,2,36498,TISDALE,2016-02-21,0536
1,2,36499,TISDALE,2016-02-21,0536
1,2,36501,TISDALE,2016-02-21,0536
1,2,36502,TISDALE,2016-02-21,0536
1,2,36503,TISDALE,2016-02-21,0536
1,2,36646,TISDALE,2016-02-21,0536
1,2,36647,TISDALE,2016-02-21,0536
1,2,36648,TISDALE,2016-02-21,0536
1,2,36649,TISDALE,2016-02-21,0536
1,2,36650,TISDALE,2016-02-21,0536
1,2,36651,TISDALE,2016-02-21,0536
1,2,36644,TISDALE,2016-02-21,0536
1,3,36352,TISDALE,2016-02-21,0538
1,3,36354,TISDALE,2016-02-21,0538
1,3,36355,TISDALE,2016-02-21,0538
1,3,36358,TISDALE,2016-02-21,0538
1,3,36359,TISDALE,2016-02-21,0538
1,3,36360,TISDALE,2016-02-21,0538
1,3,36361,TISDALE,2016-02-21,0538
1,3,36390,TISDALE,2016-02-21,0538
1,3,36391,TISDALE,2016-02-21,0538
1,3,36392,TISDALE,2016-02-21,0538
1,3,36393,TISDALE,2016-02-21,0538
1,3,36394,TISDALE,2016-02-21,0538
1,3,36395,TISDALE,2016-02-21,0538
1,3,36396,TISDALE,2016-02-21,0538
1,3,36397,TISDALE,2016-02-21,0538
1,4,36504,TISDALE,2016-02-21,0530
1,4,36505,TISDALE,2016-02-21,0530
1,4,36506,TISDALE,2016-02-21,0530
1,4,36507,TISDALE,2016-02-21,0530
1,4,36508,TISDALE,2016-02-21,0530
1,4,36509,TISDALE,2016-02-21,0530
1,4,36511,TISDALE,2016-02-21,0530
1,4,36513,TISDALE,2016-02-21,0530
1,4,36638,TISDALE,2016-02-21,0530
1,4,36639,TISDALE,2016-02-21,0530
1,4,36640,TISDALE,2016-02-21,0530
1,4,36641,TISDALE,2016-02-21,0530
1,4,36642,TISDALE,2016-02-21,0530
1,4,36634,TISDALE,2016-02-21,0530
1,4,36635,TISDALE,2016-02-21,0530
1,5,36483,TISDALE,2016-02-21,1039
1,5,36484,TISDALE,2016-02-21,1039
1,5,36485,TISDALE,2016-02-21,1039
1,5,36486,TISDALE,2016-02-21,1039
1,5,36487,TISDALE,2016-02-21,1039
1,5,36488,TISDALE,2016-02-21,1039
1,5,36491,TISDALE,2016-02-21,1039
1,5,36492,TISDALE,2016-02-21,1039
1,5,36447,TISDALE,2016-02-21,1039
1,5,36448,TISDALE,2016-02-21,1039
1,5,36450,TISDALE,2016-02-21,1039
1,5,36451,TISDALE,2016-02-21,1039
1,5,36453,TISDALE,2016-02-21,1039
1,5,36454,TISDALE,2016-02-21,1039
1,5,36353,TISDALE,2016-02-21,1039
1,6,36737,TISDALE,2016-02-21,1043
1,6,36738,TISDALE,2016-02-21,1043
1,6,36739,TISDALE,2016-02-21,1043
1,6,36740,TISDALE,2016-02-21,1043
1,6,36741,TISDALE,2016-02-21,1043
1,6,36742,TISDALE,2016-02-21,1043
1,6,36736,TISDALE,2016-02-21,1043
1,6,36537,TISDALE,2016-02-21,1043
1,6,36581,TISDALE,2016-02-21,1043
1,6,36583,TISDALE,2016-02-21,1043
1,6,36584,TISDALE,2016-02-21,1043
1,6,36585,TISDALE,2016-02-21,1043
1,6,36586,TISDALE,2016-02-21,1043
1,6,36587,TISDALE,2016-02-21,1043
1,6,36588,TISDALE,2016-02-21,1043
1,7,36473,TISDALE,2016-02-21,1046
1,7,36474,TISDALE,2016-02-21,1046
1,7,36475,TISDALE,2016-02-21,1046
1,7,36476,TISDALE,2016-02-21,1046
1,7,36478,TISDALE,2016-02-21,1046
1,7,36480,TISDALE,2016-02-21,1046
1,7,36481,TISDALE,2016-02-21,1046
1,7,36482,TISDALE,2016-02-21,1046
1,7,36589,TISDALE,2016-02-21,1046
1,7,36590,TISDALE,2016-02-21,1046
1,7,36593,TISDALE,2016-02-21,1046
1,7,36594,TISDALE,2016-02-21,1046
1,7,36595,TISDALE,2016-02-21,1046
1,7,36596,TISDALE,2016-02-21,1046
1,7,36597,TISDALE,2016-02-21,1046
1,8,36672,TISDALE,2016-02-21,1049
1,8,36675,TISDALE,2016-02-21,1049
1,8,36676,TISDALE,2016-02-21,1049
1,8,36677,TISDALE,2016-02-21,1049
1,8,36735,TISDALE,2016-02-21,1049
1,8,36669,TISDALE,2016-02-21,1049
1,8,36671,TISDALE,2016-02-21,1049
1,8,36441,TISDALE,2016-02-21,1049
1,8,36442,TISDALE,2016-02-21,1049
1,8,36443,TISDALE,2016-02-21,1049
1,8,36444,TISDALE,2016-02-21,1049
1,8,36445,TISDALE,2016-02-21,1049
1,8,36446,TISDALE,2016-02-21,1049
1,8,36439,TISDALE,2016-02-21,1049
1,8,36440,TISDALE,2016-02-21,1049
1,9,36398,TISDALE,2016-02-21,1654
1,9,36400,TISDALE,2016-02-21,1654
