"","id","TagDate","RelSite","RelLoc","RelDate","RelTime","wtempC","weight","FL","AirTime","CanID","RelEv"
"55",36409,"2016-02-20","S1","TISDALE","2016-02-21","1655",13,54.5,173,"1:38",9,1
"56",36410,"2016-02-20","S1","TISDALE","2016-02-21","1655",13,22.7,131,"1:45",9,1
"57",36411,"2016-02-20","S1","TISDALE","2016-02-21","1655",13,47,164,"N/T",9,1
"58",36412,"2016-02-20","S1","TISDALE","2016-02-21","1655",13,90.3,204,"1:45",9,1
"59",36413,"2016-02-20","S1","TISDALE","2016-02-21","1702",13,30.6,138,"1:56",11,1
"60",36416,"2016-02-20","S1","TISDALE","2016-02-21","1702",13,40.7,159,"2:02",11,1
"61",36419,"2016-02-20","S1","TISDALE","2016-02-21","1702",13,45.2,161,"2:12",11,1
"62",36420,"2016-02-20","S1","TISDALE","2016-02-21","1702",13,87.7,197,"2:37",11,1
"63",36421,"2016-02-20","S1","TISDALE","2016-02-21","1702",13,45.4,161,"2:20",11,1
"64",36422,"2016-02-20","S1","TISDALE","2016-02-21","1702",13,52.3,167,"2:27",11,1
"65",36423,"2016-02-20","S1","TISDALE","2016-02-21","1702",13,35.6,150,"2:03",11,1
"66",36424,"2016-02-20","S1","TISDALE","2016-02-21","1702",13,22.6,132,"1:58",11,1
"67",36425,"2016-02-20","S1","TISDALE","2016-02-21","2301",13,28.2,131,"2:01",13,1
"68",36426,"2016-02-20","S1","TISDALE","2016-02-21","2301",13,43.3,163,"1:42",13,1
"69",36427,"2016-02-20","S1","TISDALE","2016-02-21","2301",13,39.2,139,"1:52",13,1
"70",36428,"2016-02-20","S1","TISDALE","2016-02-21","2301",13,35.2,145,"1:46",13,1
"71",36429,"2016-02-20","S1","TISDALE","2016-02-21","2301",13,63.2,173,"2:04",13,1
"72",36431,"2016-02-20","S1","TISDALE","2016-02-21","2301",13,34.2,139,"2:11",13,1
"73",36432,"2016-02-20","S1","TISDALE","2016-02-21","2301",13,69.9,187,"2:41",13,1
"74",36433,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,44.6,163,"2:33",15,1
"75",36434,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,18.1,118,"2:17",15,1
"76",36435,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,36,153,"1:58",15,1
"77",36436,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,32.3,144,"1:50",15,1
"78",36437,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,37.2,154,"1:38",15,1
"79",36438,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,28.3,134,"",15,1
"80",36439,"2016-02-20","S1","TISDALE","2016-02-21","1049",11.4,13.5,108,"2:34",8,1
"81",36440,"2016-02-20","S1","TISDALE","2016-02-21","1049",11.4,66.8,172,"1:29",8,1
"82",36441,"2016-02-20","S1","TISDALE","2016-02-21","1049",11.4,26.7,136,"2:11",8,1
"83",36442,"2016-02-20","S1","TISDALE","2016-02-21","1046",11.4,36.4,133,"1:38",7,1
"84",36443,"2016-02-20","S1","TISDALE","2016-02-21","1049",11.4,38.7,157,"3:00",8,1
"85",36444,"2016-02-20","S1","TISDALE","2016-02-21","1049",11.4,36.8,151,"1:58",8,1
"86",36445,"2016-02-20","S1","TISDALE","2016-02-21","1049",11.4,41.8,157,"1:58",8,1
"87",36446,"2016-02-20","S1","TISDALE","2016-02-21","1049",11.4,42.4,157,"1:57",8,1
"88",36447,"2016-02-20","S1","TISDALE","2016-02-21","1039",11.4,37.7,153,"1:41",5,1
